,PlotID,Treatment,Year,Longitude,Latitude,Yield,Moisture,elevation,slope,aspect,Average Control Yield,Relative Yield,FieldID
0,10,Medium,2018,-96.88421179288278,31.470173932179296,41.379482758620696,10.46206896551724,171.33040592413786,1.9619206896551717,105.37215863793102,42.92667777777776,-3.604273843800797,Y8
1,10,Medium,2019,-96.88420379996802,31.470176199972,120.00052,11.804000000000006,171.30046448000002,2.118667864,112.42224212800002,110.46387132003797,8.633273998095035,Y8
2,10,Medium,2020,-96.8842116538077,31.470183077307695,187.69046153846148,12.699999999999996,171.3294595576923,2.000018846153846,99.3013928576923,160.20001714285715,17.160075813905777,Y8
3,10,Medium,2022,-96.88418934783478,31.47018347857391,45.0344347826087,9.913043478260873,171.2753236130435,1.9156457043478263,97.04896222173912,54.450745772946874,-17.29326358467715,Y8
4,12,Medium,2018,-96.88251227270607,31.47098345459696,45.859272727272725,10.884848484848485,167.14577229999995,1.7513138666666668,89.3334337818182,46.07077904040404,-0.45908994277224086,Y8
5,12,Medium,2019,-96.8825423190227,31.47097086397272,57.529136363636354,11.659090909090907,167.18784817727274,1.8879857863636362,108.3291325590909,66.46022584541062,-13.438247264684867,Y8
6,12,Medium,2020,-96.88255244395,31.470974332772226,56.17916666666667,12.5,167.1795467833333,1.6406310555555554,99.67037973333333,87.36451587301592,-35.69566991211517,Y8
7,12,Medium,2022,-96.88289899709999,31.470825000399998,49.595,9.8,167.85289,1.5616113,43.656310999999995,83.0061014499419,1.9335717414956095,Y8
8,13,High,2018,-96.88505416728667,31.46983386673666,45.058966666666656,10.416666666666666,173.04113260666665,1.1999442733333334,139.25764036333334,44.09589693486592,2.18403479403834,Y8
9,13,High,2019,-96.88507465291923,31.46982261571538,132.19153846153847,11.803846153846157,173.08832666923078,1.2272738615384615,147.11170269615383,127.76634706959705,3.463503100335883,Y8
10,13,High,2020,-96.88510341669583,31.469821123520834,170.56345833333333,12.699999999999996,173.11757977916662,1.0322488416666669,177.4765929916667,163.35403511599506,4.41337320637284,Y8
11,13,High,2022,-96.88502639151304,31.469847653021738,43.56960869565218,9.934782608695654,172.99824523913043,1.1947453695652173,127.6664570217391,45.00126216073782,-3.1813629137155552,Y8
12,15,High,2018,-96.88339737908967,31.470622862275867,42.49186206896553,10.800000000000006,169.07210514137927,1.6758524758620694,83.1278296551724,45.5527424055829,-6.71942055511073,Y8
13,15,High,2019,-96.88340807418146,31.47062155592592,80.56244444444445,11.637037037037036,169.09936805555554,1.8154811703703704,86.8159576074074,81.99622584541065,-1.7485943849041423,Y8
14,15,High,2020,-96.88341904409131,31.47062273946522,164.0642173913043,12.504347826086958,169.10768326086958,1.6377034869565217,82.01815483043477,125.29197924297928,30.94550695310981,Y8
15,15,High,2022,-96.8833949990909,31.47062472633182,74.2339090909091,9.904545454545458,169.06647769545452,1.7654851636363633,78.05604908181817,83.0061014499419,1.9335717414956095,Y8
16,18,Medium,2018,-96.88423334379691,31.47028675022813,45.840625,10.415624999999997,171.35599279687497,1.8773635593750002,106.76390081562501,44.15457635467981,3.8185139220376807,Y8
17,18,Medium,2019,-96.88423315954,31.47028560126,112.86839999999998,11.800000000000004,171.37223632399997,2.029262008,112.93703245199997,108.30544749694751,4.2130406258476265,Y8
18,18,Medium,2020,-96.88427576066002,31.47027800006799,172.45656,12.699999999999996,171.480516348,2.0098192440000004,116.48074127200002,158.13135873015878,9.059051528347597,Y8
19,18,Medium,2022,-96.88422912537499,31.470290500254166,46.84662500000001,9.900000000000004,171.34925778749997,1.9078236083333333,112.49071939166667,49.40146911725955,-5.171595426029441,Y8
20,20,Medium,2018,-96.88259727648274,31.47106751662758,42.947758620689655,10.800000000000006,167.0625426137931,1.612927662068966,58.52167859655174,45.5435584975369,-5.699598280155612,Y8
21,20,Medium,2019,-96.88262032022801,31.471062480128,59.150559999999984,11.683999999999996,167.091225592,1.608171484,98.70379613999998,62.216192512077285,-4.927386888039184,Y8
22,20,Medium,2020,-96.88262244981999,31.471065999694996,56.24365,12.420000000000003,167.08763123,1.689447685,98.69496477499999,85.84645697577277,-34.483434749237404,Y8
23,21,Low,2018,-96.88511082850347,31.469932448589653,44.89003448275862,12.506896551724138,173.1264743172414,1.3033491034482758,146.3563988103448,43.19784688013138,3.9172961729385674,Y8
24,21,Low,2019,-96.88514338434615,31.469914384280763,123.5394230769231,11.784615384615389,173.16935084230775,1.2916698000000002,140.76233615384615,124.19187271062266,-0.5253561440528925,Y8
25,21,Low,2020,-96.88514337372915,31.469927416645834,157.20545833333335,12.699999999999996,173.1742750791667,1.2362691249999997,146.02680608333333,158.38726666666665,-0.7461511005303625,Y8
26,21,Low,2022,-96.88509540961364,31.4699410004,43.002545454545455,9.895454545454548,173.10710214090906,1.2824253545454547,132.18338568181818,43.53077001443001,-1.213450990436087,Y8
27,23,Low,2018,-96.88345521905312,31.47072212564062,47.609812500000004,10.7625,169.13878440312502,1.945645721875,90.64146928750002,43.87843270388614,8.503904005175123,Y8
28,23,Low,2019,-96.883447720272,31.470729960000007,78.58728,11.643999999999997,169.11714966,1.8039058559999994,94.493277888,80.06834273504273,-1.849748208157336,Y8
29,23,Low,2020,-96.883475799725,31.470720200334995,160.52539999999996,12.475000000000001,169.18249741000005,1.7206767399999996,95.46914844,116.46465824561396,37.83185596223155,Y8
30,23,Low,2022,-96.88345395160952,31.47072271477619,73.02538095238096,9.8952380952381,169.1522296761905,1.803026876190476,104.29331642857146,83.0061014499419,1.9335717414956095,Y8
